Index,Country,Unemployment_Rate,Year,
89,Luxembourg,5.8,2017,est.
90,Pakistan,6,2017,est.
91,Panama,6,2017,est.
92,Saudi Arabia,6,2017,est.
93,Bulgaria,6.2,2017,est.
94,Canada,6.3,2017,est.
95,Nicaragua,6.4,2017,est.
96,Comoros,6.5,2014,est.
97,Angola,6.6,2016,est.
98,Slovenia,6.6,2017,est.
99,Chile,6.7,2017,est.
100,Ireland,6.7,2017,est.
101,Sweden,6.7,2017,est.
102,Brunei,6.9,2017,est.
103,Central African Republic,6.9,2017,est.
104,Peru,6.9,2017,est.
105,Togo,6.9,2016,est.
106,Bermuda,7,2017,est.
107,El Salvador,7,2017,est.
108,Belgium,7.1,2017,est.
109,Kyrgyzstan,7.1,2017,est.
110,Lithuania,7.1,2017,est.
111,Mauritius,7.1,2017,est.
112,Uruguay,7.6,2017,est.
113,Aruba,7.7,2016,est.
114,Mali,7.9,2017,est.
115,Anguilla,8,2002,
116,Mongolia,8,2017,est.
117,Costa Rica,8.1,2017,est.
118,San Marino,8.1,2017,est.
119,Slovakia,8.1,2017,est.
120,Argentina,8.4,2017,est.
121,Finland,8.5,2017,est.
122,India,8.5,2017,est.
123,Equatorial Guinea,8.6,2014,est.
124,Latvia,8.7,2017,est.
125,Saint Pierre and Miquelon,8.7,2015,est.
126,Wallis and Futuna,8.8,2013,est.
127,Portugal,8.9,2017,est.
128,Qatar,8.9,2017,est.
129,Suriname,8.9,2017,est.
130,Belize,9,2017,est.
131,Cabo Verde,9,2017,est.
132,Greenland,9.1,2015,est.
133,Ukraine,9.2,2017,est.
134,Colombia,9.3,2017,est.
135,Cote d'Ivoire,9.4,2013,est.
136,France,9.4,2017,est.
137,Uganda,9.4,2014,est.
138,Lebanon,9.7,2007,
139,Turks and Caicos Islands,10,1997,est.
140,"Bahamas, The",10.1,2017,est.
141,Barbados,10.1,2017,est.
142,Mauritania,10.2,2017,est.
143,Morocco,10.2,2017,est.
144,Tanzania,10.3,2014,est.
145,Virgin Islands,10.4,2017,est.
146,Puerto Rico,10.8,2017,est.
147,Turkey,10.9,2017,est.
148,Antigua and Barbuda,11,2014,est.
149,Turkmenistan,11,2014,est.
150,Cyprus,11.1,2017,est.
151,Guyana,11.1,2013,
152,Northern Mariana Islands,11.2,2010,est.
153,Italy,11.3,2017,est.
154,Zimbabwe,11.3,2014,est.
155,Algeria,11.7,2017,est.
156,Georgia,11.8,2016,est.
157,Iran,11.8,2017,est.
158,Ghana,11.9,2015,est.
159,Niue,12,2001,
160,Sint Maarten,12,2012,est.
161,Egypt,12.2,2017,est.
162,Jamaica,12.2,2017,est.
163,Sao Tome and Principe,12.2,2017,est.
164,Croatia,12.4,2017,est.
165,Brazil,12.8,2017,est.
166,Curacao,13,2013,est.
167,Cook Islands,13.1,2005,
168,Albania,13.8,2017,est.
169,"Saint Helena, Ascension, and Tristan da Cunha",14,1998,est.
170,Serbia,14.1,2017,est.
171,New Caledonia,14.7,2014,
172,Sierra Leone,15,2017,est.
173,Zambia,15,2008,est.
174,Tunisia,15.5,2017,est.
175,Iraq,16,2012,est.
176,Montenegro,16.1,2017,est.
177,"Micronesia, Federated States of",16.2,2010,est.
178,Nigeria,16.5,2017,est.
179,Spain,17.2,2017,est.
180,Ethiopia,17.5,2012,est.
181,Jordan,18.3,2017,est.
182,Saint Vincent and the Grenadines,18.8,2008,est.
183,Armenia,18.9,2017,est.
184,Sudan,19.6,2017,est.
185,Botswana,20,2013,est.
186,Saint Lucia,20,2003,est.
187,Malawi,20.4,2013,est.
188,Bosnia and Herzegovina,20.5,2017,est.
189,Greece,21.5,2017,est.
190,French Polynesia,21.8,2012,
191,Macedonia,22.4,2017,est.
192,Dominica,23,2000,est.
193,Nauru,23,2011,est.
194,Afghanistan,23.9,2017,est.
195,Grenada,24,2017,est.
196,Mozambique,24.5,2017,est.
197,"Korea, North",25.6,2013,est.
198,Yemen,27,2014,est.
199,Venezuela,27.1,2017,est.
200,South Africa,27.5,2017,est.
201,Gaza Strip,27.9,2017,est.
202,West Bank,27.9,2017,est.
203,Eswatini,28,2014,est.
204,Gabon,28,2015,est.
205,Lesotho,28.1,2014,est.
206,American Samoa,29.8,2005,
207,Libya,30,2004,est.
208,Kosovo,30.5,2017,est.
209,Kiribati,30.6,2010,est.
210,Namibia,34,2016,est.
211,"Congo, Republic of the",36,2014,est.
212,Marshall Islands,36,2006,est.
213,Djibouti,40,2017,est.
214,Kenya,40,2013,est.
215,Haiti,40.6,2010,est.
216,Senegal,48,2007,est.
217,Syria,50,2017,est.
218,Burkina Faso,77,2004,
